City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
422,Codrington,AU,-38.2667,141.9667,50.88,67,6,6.22,clear sky
423,Houston,US,29.7633,-95.3633,93.6,61,20,16.11,few clouds
424,Takab,IR,36.4009,47.1133,68.07,39,0,2.71,clear sky
425,Terra Rica,BR,-22.7094,-52.6169,65.32,95,100,2.95,overcast clouds
426,Sumenep,ID,-7.0167,113.8667,79.74,77,67,6.02,broken clouds
427,Hualmay,PE,-11.0964,-77.6139,62.28,81,20,10.49,few clouds
428,Kapoeta,SS,4.7717,33.5903,73.92,79,98,5.21,light rain
429,Linda,US,39.1277,-121.5508,96.69,18,0,5.75,clear sky
430,Novotroitsk,RU,51.203,58.3266,59.7,61,48,5.32,scattered clouds
431,Sibu,MY,2.3,111.8167,77.31,88,20,3.44,few clouds
432,Mamallapuram,IN,12.6264,80.1722,84.25,64,100,14.92,overcast clouds
433,Kalawit,PH,8.0667,122.5167,78.1,85,99,4.45,overcast clouds
434,Belmonte,BR,-15.8631,-38.8828,71.22,75,58,9.24,broken clouds
435,Morondava,MG,-20.2833,44.2833,68.23,83,0,3.76,clear sky
